SALSF2D47CA305941,Ford,Mustang,Coupe,2023,Goldenrod,35198,This car is a spacious and family-friendly SUV with advanced safety features.,A compact and fuel-efficient hatchback perfect for city driving.,yes,7,68,http://dummyimage.com/210x100.png/cc0000/ffffff,being-watched,81576
2G4GU5GV1D9224709,Ford,Focus,Hatchback,2024,Goldenrod,6980,This car is a futuristic and cutting-edge electric vehicle with advanced technology.,A compact and fuel-efficient hatchback perfect for city driving.,yes,1,42,http://dummyimage.com/106x100.png/ff4444/ffffff,low-mileage,65203
WAUEG94F16N011182,Toyota,RAV4,SUV,2023,Yellow,22872,This car is a versatile and practical crossover with ample cargo space.,A luxurious sports car with high-performance engine and premium sound system.,yes,2,13,http://dummyimage.com/125x100.png/5fa2dd/ffffff,being-watched,35955
1G4HP57M79U336833,Jeep,Compass,SUV,2023,Green,10615,This car is a reliable and dependable sedan known for its longevity and comfort.,A compact and fuel-efficient hatchback perfect for city driving.,yes,9,63,http://dummyimage.com/151x100.png/5fa2dd/ffffff,being-watched,33244
2T1KE4EEXDC541493,Jeep,Cherokee,SUV,2023,Turquoise,17798,This car is a sporty and agile coupe designed for high performance driving.,A sleek and stylish sedan with leather interior and advanced technology features.,yes,6,51,http://dummyimage.com/149x100.png/5fa2dd/ffffff,being-watched,98131
WDDHF2EBXBA659567,Toyota,Camry,sedan,2023,Indigo,24053,This car is a versatile and practical crossover with ample cargo space.,A family-friendly SUV with third-row seating and safety features for peace of mind.,yes,4,59,http://dummyimage.com/244x100.png/ff4444/ffffff,being-watched,86147
WVWED7AJ7CW030690,Chevrolet,Silverado,SUV,2023,Khaki,30517,This car is a futuristic and cutting-edge electric vehicle with advanced technology.,A compact and fuel-efficient hatchback perfect for city driving.,yes,4,84,http://dummyimage.com/124x100.png/5fa2dd/ffffff,being-watched,89256
WBSBR93441E328102,Jeep,Renegade,SUV,2024,Purple,12033,This car is a futuristic and cutting-edge electric vehicle with advanced technology.,A sleek and stylish sedan with leather interior and advanced technology features.,yes,5,65,http://dummyimage.com/151x100.png/5fa2dd/ffffff,being-watched,76407
3VW517AT2FM570847,Chevrolet,Traverse,SUV,2023,Maroon,11965,This car is a sporty and agile coupe designed for high performance driving.,A rugged off-road vehicle with all-terrain capabilities and spacious cargo room.,yes,9,8,http://dummyimage.com/222x100.png/cc0000/ffffff,new,94250
1G6DJ5ED0B0941154,Ford,F-150,SUV,2023,Khaki,40650,This car is a futuristic and cutting-edge electric vehicle with advanced technology.,A family-friendly SUV with third-row seating and safety features for peace of mind.,yes,2,5,http://dummyimage.com/109x100.png/dddddd/000000,new,45325
1G4HP52KX44657084,Chevrolet,Malibu,sedan,2024,Yellow,29429,This car is a classic and timeless convertible perfect for cruising on sunny days.,A sleek and stylish sedan with leather interior and advanced technology features.,yes,3,98,http://dummyimage.com/172x100.png/cc0000/ffffff,being-watched,30995
WAUFFAFLXFA520173,Ford,Focus,Hatchback,2023,Mauv,13121,This car is a versatile and practical crossover with ample cargo space.,A luxurious sports car with high-performance engine and premium sound system.,yes,9,19,http://dummyimage.com/167x100.png/ff4444/ffffff,being-watched,32330
1C4NJCBA7FD819695,Jeep,Cherokee,SUV,2023,Indigo,25382,This car is a reliable and dependable sedan known for its longevity and comfort.,A sleek and stylish sedan with leather interior and advanced technology features.,yes,7,28,http://dummyimage.com/132x100.png/5fa2dd/ffffff,being-watched,64972
4JGDF2EE8DA863995,Chevrolet,Traverse,SUV,2024,Green,14766,This car is a classic and timeless convertible perfect for cruising on sunny days.,A rugged off-road vehicle with all-terrain capabilities and spacious cargo room.,yes,10,100,http://dummyimage.com/209x100.png/dddddd/000000,being-watched,77090
JH4DC53876S991927,Toyota,Camry,sedan,2023,Maroon,11247,This car is a futuristic and cutting-edge electric vehicle with advanced technology.,A luxurious sports car with high-performance engine and premium sound system.,yes,5,51,http://dummyimage.com/192x100.png/ff4444/ffffff,being-watched,53792
1C3CDFBB9ED744350,Ford,Mustang,Coupe,2023,Fuscia,22654,This car is a sporty and agile coupe designed for high performance driving.,A compact and fuel-efficient hatchback perfect for city driving.,yes,8,61,http://dummyimage.com/220x100.png/5fa2dd/ffffff,being-watched,44165
JN8AE2KP5C9368609,Jeep,Renegade,SUV,2023,Puce,18522,This car is a compact and fuel-efficient hatchback perfect for city driving.,A rugged off-road vehicle with all-terrain capabilities and spacious cargo room.,yes,7,41,http://dummyimage.com/144x100.png/ff4444/ffffff,being-watched,46808
YV4952CT6C1341912,Toyota,Corolla,sedan,2023,Green,33342,This car is a classic and timeless convertible perfect for cruising on sunny days.,A rugged off-road vehicle with all-terrain capabilities and spacious cargo room.,yes,1,62,http://dummyimage.com/217x100.png/dddddd/000000,being-watched,68960
